lambda,seed,vital1,final_loss_fac,final_loss_cf,holdout_int_mse
0.0,0,1,0.000770,0.239249,0.243049
0.0,1,0,0.000948,0.653198,0.656033
0.0,2,1,0.001023,2.124534,2.055621
0.0,3,1,0.000577,2.427044,2.673470
0.0,4,1,0.000570,0.925814,1.005899
0.0,5,1,0.000752,0.389823,0.433959
0.0,6,1,0.000310,0.765233,0.695904
0.0,7,1,0.000726,0.595579,0.539014
0.0,8,1,0.000495,1.437838,1.378167
0.0,9,1,0.000884,0.109638,0.089491
0.0,10,1,0.001652,0.849088,0.752435
0.0,11,0,0.000442,0.396135,0.508443
0.0,12,0,0.001330,0.934987,1.069557
0.0,13,1,0.000562,1.665814,1.623292
0.0,14,1,0.000665,0.117438,0.130418
0.0,15,1,0.001113,0.172773,0.188278
0.0,16,1,0.000677,0.936326,0.976124
0.0,17,1,0.000877,0.206831,0.192396
0.0,18,0,0.001734,0.328870,0.385261
0.0,19,1,0.000409,0.206722,0.217791
0.5,0,1,0.000925,0.001782,0.001833
0.5,1,1,0.001036,0.000953,0.001163
0.5,2,1,0.000807,0.002431,0.002555
0.5,3,1,0.001486,0.001933,0.002619
0.5,4,1,0.000680,0.001749,0.002110
0.5,5,1,0.000660,0.001308,0.001609
0.5,6,1,0.000590,0.001658,0.002169
0.5,7,1,0.000817,0.001371,0.001896
0.5,8,1,0.000645,0.001988,0.002317
0.5,9,1,0.000837,0.001217,0.001291
0.5,10,1,0.001731,0.003690,0.004447
0.5,11,1,0.000376,0.001153,0.001482
0.5,12,1,0.001219,0.001600,0.001922
0.5,13,1,0.000932,0.001414,0.001772
0.5,14,1,0.000642,0.000794,0.001168
0.5,15,1,0.000883,0.001758,0.002201
0.5,16,1,0.000684,0.001307,0.001703
0.5,17,1,0.000644,0.001615,0.002147
0.5,18,1,0.001769,0.001637,0.002175
0.5,19,1,0.000385,0.001217,0.001579
1.0,0,1,0.001143,0.001452,0.001477
1.0,1,1,0.001104,0.000920,0.001221
1.0,2,1,0.000927,0.002086,0.002194
1.0,3,1,0.002104,0.001789,0.002399
1.0,4,1,0.000667,0.001189,0.001657
1.0,5,1,0.000891,0.000974,0.001191
1.0,6,1,0.000940,0.001674,0.002300
1.0,7,1,0.001149,0.000931,0.001440
1.0,8,1,0.000951,0.001913,0.002050
1.0,9,1,0.000757,0.001069,0.001175
1.0,10,1,0.002042,0.003035,0.003980
1.0,11,1,0.000407,0.000975,0.001372
1.0,12,1,0.001477,0.001093,0.001327
1.0,13,1,0.001336,0.001462,0.001903
1.0,14,1,0.000664,0.000686,0.001000
1.0,15,1,0.000903,0.001228,0.001625
1.0,16,1,0.000776,0.001098,0.001418
1.0,17,1,0.000638,0.001174,0.001590
1.0,18,1,0.001743,0.001330,0.001792
1.0,19,1,0.000377,0.000887,0.001108
2.0,0,1,0.001255,0.001095,0.001109
2.0,1,1,0.001265,0.000835,0.001123
2.0,2,1,0.001437,0.001810,0.002166
2.0,3,1,0.002612,0.001772,0.002551
2.0,4,1,0.000897,0.001084,0.001565
2.0,5,1,0.001082,0.000809,0.000977
2.0,6,1,0.001520,0.001587,0.002239
2.0,7,1,0.001921,0.000842,0.001234
2.0,8,1,0.001385,0.001884,0.002030
2.0,9,1,0.001047,0.001006,0.001216
2.0,10,1,0.002656,0.002439,0.003103
2.0,11,1,0.000591,0.000924,0.001417
2.0,12,1,0.001288,0.000912,0.001099
2.0,13,1,0.001936,0.001461,0.001942
2.0,14,1,0.000688,0.000586,0.000823
2.0,15,1,0.000987,0.000928,0.001318
2.0,16,1,0.000961,0.000984,0.001377
2.0,17,1,0.000766,0.000964,0.001475
2.0,18,1,0.001687,0.001066,0.001451
2.0,19,1,0.000434,0.000720,0.000960
